[REGIONS] LFMD
COLOR_AoRground1
N043.30.25.813 E006.55.02.471 ;- LFMD
N043.35.13.911 E006.54.11.347
N043.35.41.483 E007.00.22.707
N043.32.52.830 E007.00.40.051
N043.32.53.752 E007.00.35.988
N043.32.54.433 E007.00.30.792
N043.32.55.368 E007.00.21.614
N043.32.56.153 E007.00.04.784
N043.32.56.536 E006.59.57.532
N043.32.56.158 E006.59.38.285
N043.32.55.608 E006.59.26.962
N043.32.54.614 E006.59.11.277
N043.32.53.009 E006.58.56.594
N043.32.50.459 E006.58.42.956
N043.32.47.437 E006.58.29.839
N043.32.43.571 E006.58.14.035
N043.32.38.352 E006.57.58.162
N043.32.33.004 E006.57.45.558
N043.32.25.998 E006.57.33.387
N043.32.17.895 E006.57.22.511
N043.32.07.238 E006.57.11.245
N043.31.58.066 E006.57.02.125
N043.31.52.131 E006.56.58.890
N043.31.42.734 E006.56.54.213
N043.31.38.014 E006.56.51.528
N043.31.32.114 E006.56.46.197
N043.31.25.595 E006.56.39.080
N043.31.20.502 E006.56.33.186
N043.31.14.916 E006.56.30.142
N043.31.08.900 E006.56.28.310
N043.31.03.619 E006.56.24.764
N043.30.58.402 E006.56.19.582
N043.30.53.971 E006.56.16.165
N043.30.48.166 E006.56.15.006
N043.30.43.271 E006.56.14.899
N043.30.38.070 E006.56.15.294
N043.30.31.299 E006.56.17.506
COLOR_Water
N043.30.31.299 E006.56.17.506 ;- LFMD
N043.30.38.070 E006.56.15.294
N043.30.43.271 E006.56.14.899
N043.30.48.166 E006.56.15.006
N043.30.53.971 E006.56.16.165
N043.30.58.402 E006.56.19.582
N043.31.03.619 E006.56.24.764
N043.31.08.900 E006.56.28.310
N043.31.14.916 E006.56.30.142
N043.31.20.502 E006.56.33.186
N043.31.25.595 E006.56.39.080
N043.31.32.114 E006.56.46.197
N043.31.38.014 E006.56.51.528
N043.31.42.734 E006.56.54.213
N043.31.52.131 E006.56.58.890
N043.31.58.066 E006.57.02.125
N043.32.07.238 E006.57.11.245
N043.32.17.895 E006.57.22.511
N043.32.25.998 E006.57.33.387
N043.32.33.004 E006.57.45.558
N043.32.38.352 E006.57.58.162
N043.32.43.571 E006.58.14.035
N043.32.47.437 E006.58.29.839
N043.32.50.459 E006.58.42.956
N043.32.53.009 E006.58.56.594
N043.32.54.614 E006.59.11.277
N043.32.55.608 E006.59.26.962
N043.32.56.158 E006.59.38.285
N043.32.56.536 E006.59.57.532
N043.32.56.153 E007.00.04.784
N043.32.55.368 E007.00.21.614
N043.32.54.433 E007.00.30.792
N043.32.53.752 E007.00.35.988
N043.32.52.830 E007.00.40.051
N043.30.51.294 E007.01.00.761
COLOR_GrasSurface
N043.33.23.265 E006.56.54.006 ;- LFMD
N043.33.23.839 E006.56.55.084
N043.33.24.555 E006.56.57.569
N043.33.24.806 E006.56.58.716
N043.33.24.967 E006.57.00.585
N043.33.25.002 E006.57.02.295
N043.33.24.968 E006.57.03.418
N043.33.24.946 E006.57.03.740
N043.33.24.243 E006.57.09.098
N043.33.23.971 E006.57.09.625
